BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,4,0.26
3070b,4211415,3070b,Tile 1 x 1 with Groove (3070),86,71,Light Bluish Gray,Solid Colors,1,0.16
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,2,0.16
3070bpb081,6251308,3070bpb081,Tile 1 x 1 with Groove with Black Keyhole and 4 Dots on Silver Background Pattern,86,71,Light Bluish Gray,Solid Colors,1,0.16
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
4070,4211044,4070,"Brick, Modified 1 x 1 with Headlight",85,72,Dark Bluish Gray,Solid Colors,4,0.36
4162,4211008,4162,Tile 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.06
6541,4210639,6541,"Technic, Brick 1 x 1 with Hole",85,72,Dark Bluish Gray,Solid Colors,1,0.38
87087,4558955,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",85,72,Dark Bluish Gray,Solid Colors,1,0.45
98283,6000311,98283,"Brick, Modified 1 x 2 with Masonry Profile",85,72,Dark Bluish Gray,Solid Colors,5,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
22,12.49,,,,,,,,
