BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,4,1.2
3021,4211043,3021,Plate 2 x 3,85,72,Dark Bluish Gray,Solid Colors,2,0.93
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,4,0.64
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,8,0.26
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.71
6541,4210639,6541,"Technic, Brick 1 x 1 with Hole",85,72,Dark Bluish Gray,Solid Colors,2,0.38
87087,4558955,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",85,72,Dark Bluish Gray,Solid Colors,2,0.45
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
26,16.61,,,,,,,,
