BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15571,6051508,15571,Slope 45 2 x 1 Triple with Bottom Stud Holder,11,0,Black,Solid Colors,1,0.34
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,2,2.27
3040,4121966,3040,Slope 45 2 x 1,11,0,Black,Solid Colors,5,0.69
3622,362226,3622,Brick 1 x 3,11,0,Black,Solid Colors,1,1.24
54200,4504382,54200,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,5,0.21
60481,4515373,60481,Slope 65 2 x 1 x 2,11,0,Black,Solid Colors,2,1.16
6541,654126,6541,"Technic, Brick 1 x 1 with Hole",11,0,Black,Solid Colors,1,0.38
85984,4548180,85984,Slope 30 1 x 2 x 2/3,11,0,Black,Solid Colors,1,0.34
87087,4558954,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",11,0,Black,Solid Colors,1,0.45
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
19,14.11,,,,,,,,
