BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2420,4210635,2420,Plate 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,2,0.54
3005,300526,3005,Brick 1 x 1,11,0,Black,Solid Colors,2,0.44
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3024,302426,3024,Plate 1 x 1,11,0,Black,Solid Colors,3,0.2
3069b,6251306,3069b,Tile 1 x 2 with Groove,98,57,Trans-Orange,Transparent Colors,1,0.26
36840,6234695,36840,Bracket 1 x 1 - 1 x 1 Inverted,11,0,Black,Solid Colors,1,0.29
4070,407026,4070,"Brick, Modified 1 x 1 with Headlight",11,0,Black,Solid Colors,1,0.36
54200,4504382,54200,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,2,0.21
54200,6245265,54200,Slope 30 1 x 1 x 2/3,98,57,Trans-Orange,Transparent Colors,2,0.21
6126b,6167741,6126b,"Wave Rounded with Base Rim (Castle Dragon Flame, Seaweed, Water)",98,57,Trans-Orange,Transparent Colors,1,0.23
6541,654126,6541,"Technic, Brick 1 x 1 with Hole",11,0,Black,Solid Colors,1,0.38
85861,6174023,85861,"Plate, Round 1 x 1 with Open Stud",98,57,Trans-Orange,Transparent Colors,1,0.1
87087,4558954,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",11,0,Black,Solid Colors,1,0.45
92946,6069000,92946,Slope 45 2 x 1 with 2/3 Cutout,11,0,Black,Solid Colors,3,0.42
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
22,7.93,,,,,,,,
