BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3005,300526,3005,Brick 1 x 1,11,0,Black,Solid Colors,1,0.44
3024,302426,3024,Plate 1 x 1,11,0,Black,Solid Colors,1,0.2
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,2,2.27
3040,4121966,3040,Slope 45 2 x 1,11,0,Black,Solid Colors,3,0.69
3070b,307026,3070b,Tile 1 x 1 with Groove (3070),11,0,Black,Solid Colors,1,0.16
54200,4504382,54200,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,10,0.21
6541,654126,6541,"Technic, Brick 1 x 1 with Hole",11,0,Black,Solid Colors,1,0.38
87087,4558954,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",11,0,Black,Solid Colors,1,0.45
92946,6069000,92946,Slope 45 2 x 1 with 2/3 Cutout,11,0,Black,Solid Colors,2,0.42
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
22,11.18,,,,,,,,
