BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2420,242026,2420,Plate 2 x 2 Corner,11,0,Black,Solid Colors,1,0.54
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.64
3023,302326,3023,Plate 1 x 2,11,0,Black,Solid Colors,1,0.36
3024,302426,3024,Plate 1 x 1,11,0,Black,Solid Colors,1,0.2
3040,4121966,3040,Slope 45 2 x 1,11,0,Black,Solid Colors,1,0.69
54200,4504382,54200,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,4,0.21
6541,654126,6541,"Technic, Brick 1 x 1 with Hole",11,0,Black,Solid Colors,1,0.38
87087,4558954,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",11,0,Black,Solid Colors,1,0.45
92946,6069000,92946,Slope 45 2 x 1 with 2/3 Cutout,11,0,Black,Solid Colors,3,0.42
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
16,7.2,,,,,,,,
