BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,1,0.43
3005,4211389,3005,Brick 1 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.44
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3040,4211614,3040,Slope 45 2 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.69
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,3,0.26
3623,4211133,3623,Plate 1 x 3,85,72,Dark Bluish Gray,Solid Colors,1,0.53
3665,4211437,3665,"Slope, Inverted 45 2 x 1",86,71,Light Bluish Gray,Solid Colors,1,0.66
4162,4211481,4162,Tile 1 x 8,86,71,Light Bluish Gray,Solid Colors,1,1.06
4286,4211488,4286,Slope 33 3 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.98
4287,4211489,4287,"Slope, Inverted 33 3 x 1",86,71,Light Bluish Gray,Solid Colors,1,0.94
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,1,0.38
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,1,0.45
98283,6000066,98283,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,2,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
18,11.87,,,,,,,,
