BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,1,0.43
3023,4211398,3023,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,2,0.36
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.36
3024,4211399,3024,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,4,0.2
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3623,4211133,3623,Plate 1 x 3,85,72,Dark Bluish Gray,Solid Colors,1,0.53
3710,4211445,3710,Plate 1 x 4,86,71,Light Bluish Gray,Solid Colors,1,0.71
3937,4211469,3937,Hinge Brick 1 x 2 Base,86,71,Light Bluish Gray,Solid Colors,1,0.48
3938,4211470,3938,Hinge Brick 1 x 2 Top Plate,86,71,Light Bluish Gray,Solid Colors,1,0.34
4162,4211481,4162,Tile 1 x 8,86,71,Light Bluish Gray,Solid Colors,1,1.06
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,1,0.38
73825,,73825,Bracket 1 x 1 - 1 x 2 Inverted,86,71,Light Bluish Gray,Solid Colors,1,0.39
85984,4568637,85984,Slope 30 1 x 2 x 2/3,86,71,Light Bluish Gray,Solid Colors,1,0.34
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,1,0.45
98283,6000066,98283,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,3,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
24,12.57,,,,,,,,
