BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
20482,6186673,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",88,70,Reddish Brown,Solid Colors,2,0.16
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,4,0.26
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
3700,4211440,3700,"Technic, Brick 1 x 2 with Hole",86,71,Light Bluish Gray,Solid Colors,2,0.82
37775,6357747,37775,Wave Rounded Small with Pin (Candle Flame),98,1009009,Glow in Dark Orange,Milky Colors,2,0.1
4162,4211481,4162,Tile 1 x 8,86,71,Light Bluish Gray,Solid Colors,1,1.06
47990,4523035,47990,Rock Skull 1 x 4 x 3 Relief with Two Pins,85,72,Dark Bluish Gray,Solid Colors,1,3.3
30241,4533772,30241,"Brick, Modified 1 x 1 with Open U Clip (Vertical Grip) - Solid Stud",86,71,Light Bluish Gray,Solid Colors,2,0.59
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,1,0.38
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,1,0.45
98283,6000066,98283,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,4,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
22,16.28,,,,,,,,
