BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,8,0.3
20482,6186673,20482.dat,"Tile, Round 1 x 1 with Bar and Pin Holder",88,70,Reddish Brown,Solid Colors,2,0.16
2780,6279875,2780.dat,"Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center Slots",11,0,Black,Solid Colors,1,0.16
3022,4211094,3022.dat,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3068b,4211413,3068b.dat,Tile 2 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,1,0.48
3700,4211440,3700.dat,"Technic, Brick 1 x 2 with Hole",86,71,Light Bluish Gray,Solid Colors,6,0.82
37775,6357747,37775.dat,Wave Rounded Small with Pin (Candle Flame),98,1009009,Glow in Dark Orange,Milky Colors,2,0.1
3832,4210678,3832.dat,Plate 2 x 10,85,72,Dark Bluish Gray,Solid Colors,1,2.91
4162,4211481,4162.dat,Tile 1 x 8,86,71,Light Bluish Gray,Solid Colors,1,1.06
4274,4211483,4274.dat,"Technic, Pin 1/2",86,71,Light Bluish Gray,Solid Colors,3,0.095
47990,4523035,47990.dat,Rock Skull 1 x 4 x 3 Relief with Two Pins,85,72,Dark Bluish Gray,Solid Colors,1,3.3
30241,4533772,60475a.dat,"Brick, Modified 1 x 1 with Open U Clip (Vertical Grip) - Solid Stud",86,71,Light Bluish Gray,Solid Colors,2,0.59
6541,4211535,6541.dat,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,4,0.38
98283,6000066,98283.dat,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,3,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
36,21.685,,,,,,,,
