BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,3,0.3
2780,6279875,2780.dat,"Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center Slots",11,0,Black,Solid Colors,1,0.16
3005,4211389,3005.dat,Brick 1 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.44
3022,4211094,3022.dat,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3023,4211398,3023.dat,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,2,0.36
3024,4211399,3024.dat,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,4,0.2
3034,4210997,3034.dat,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3068b,4211413,3068b.dat,Tile 2 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,1,0.48
3068b,4211055,3068b.dat,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3069b,4211052,3069b.dat,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3700,4211440,3700.dat,"Technic, Brick 1 x 2 with Hole",86,71,Light Bluish Gray,Solid Colors,4,0.82
3710,4211445,3710.dat,Plate 1 x 4,86,71,Light Bluish Gray,Solid Colors,1,0.71
3937,4211469,3937.dat,Hinge Brick 1 x 2 Base,86,71,Light Bluish Gray,Solid Colors,1,0.48
3938,4211470,3938.dat,Hinge Brick 1 x 2 Top Plate,86,71,Light Bluish Gray,Solid Colors,1,0.34
4274,4211483,4274.dat,"Technic, Pin 1/2",86,71,Light Bluish Gray,Solid Colors,3,0.095
6541,4211535,6541.dat,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,3,0.38
6636,4211549,6636.dat,Tile 1 x 6,86,71,Light Bluish Gray,Solid Colors,1,0.83
73825,,73825.dat,Bracket 1 x 1 - 1 x 2 Inverted,86,71,Light Bluish Gray,Solid Colors,1,0.39
85984,4568637,85984.dat,Slope 30 1 x 2 x 2/3,86,71,Light Bluish Gray,Solid Colors,1,0.34
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
32,14.945,,,,,,,,
