BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
20482,6186675,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",11,0,Black,Solid Colors,4,0.16
25269pb009,,25269pb009,"Tile, Round 1 x 1 Quarter with Silver, Metallic Light Blue, and Coral Stars and Dots Pattern",11,0,Black,Solid Colors,8,0.11
3005,300526,3005,Brick 1 x 1,11,0,Black,Solid Colors,2,0.44
30136,4644456,30136,"Brick, Modified 1 x 2 Log",11,0,Black,Solid Colors,2,0.69
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,4,0.26
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
3710,371026,3710,Plate 1 x 4,11,0,Black,Solid Colors,1,0.71
37775,6357780,37775,Wave Rounded Small with Pin (Candle Flame),15,1009018,Glowing Neon Blue,Transparent Colors,4,0
4085b,4550017,4085b,"Plate, Modified 1 x 1 with U Clip Thin (Vertical Grip)",11,0,Black,Solid Colors,4,0.31
4162,416226,4162,Tile 1 x 8,11,0,Black,Solid Colors,1,1.06
60481,4515373,60481,Slope 65 2 x 1 x 2,11,0,Black,Solid Colors,2,1.16
6541,654126,6541,"Technic, Brick 1 x 1 with Hole",11,0,Black,Solid Colors,1,0.38
87087,4558954,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",11,0,Black,Solid Colors,1,0.45
99207,6000650,99207,Bracket 1 x 2 - 2 x 2 Inverted,11,0,Black,Solid Colors,2,0.8
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
38,16.21,,,,,,,,
