BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
30044,6143849,30044,Window 1 x 2 x 2 2/3 with Rounded Top,85,72,Dark Bluish Gray,Solid Colors,1,0.95
30046,4244077,30046,Pane for Window 1 x 2 x 2 2/3 Lattice Diamond with Rounded Top,51,1009019,Glowing Neon Purple,Transparent Colors,1,0.26
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,302326,3023,Plate 1 x 2,11,0,Black,Solid Colors,1,0.36
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.2
3024,302426,3024,Plate 1 x 1,11,0,Black,Solid Colors,4,0.2
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3659,365926,3659,Arch 1 x 4,11,0,Black,Solid Colors,1,1.25
6541,654126,6541,"Technic, Brick 1 x 1 with Hole",11,0,Black,Solid Colors,1,0.38
87087,4558954,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",11,0,Black,Solid Colors,1,0.45
93273,4613153,93273,"Slope, Curved 4 x 1 Double",11,0,Black,Solid Colors,1,0.6
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
16,7.17,,,,,,,,
