BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
23985,6185153,23985,"Minifigure, Weapon Djinn Sword Hilt with Skull and Bar",89,85,Dark Purple,Solid Colors,1,0.53
2431,243126,2431,Tile 1 x 4,11,0,Black,Solid Colors,1,0.54
30136,4644456,30136,"Brick, Modified 1 x 2 Log",11,0,Black,Solid Colors,2,0.69
30153,6247799,30153,Rock 1 x 1 Jewel 24 Facet,51,1009019,Glowing Neon Purple,Transparent Colors,1,0.22
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
30237,4118624,30237,"Brick, Modified 1 x 2 with Clip (Vertical Grip)",11,0,Black,Solid Colors,1,1.0
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.71
6541,654126,6541,"Technic, Brick 1 x 1 with Hole",11,0,Black,Solid Colors,1,0.38
87087,4558954,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",11,0,Black,Solid Colors,1,0.45
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
12,6.93,,,,,,,,
