BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
22385pb025,6132187,22385pb025,"Tile, Modified 2 x 3 Pentagonal with Nexo Power Shield Pattern - Target Blaster",19,46,Trans-Yellow,Transparent Colors,1,0.6
22409,6186058,22409,"Minifigure, Shield Pentagonal with Rock Edges",115,297,Pearl Gold,Pearl Colors,1,1.42
3005,4541376,3005,Brick 1 x 1,59,320,Dark Red,Solid Colors,2,0.44
3023,4539097,3023,Plate 1 x 2,59,320,Dark Red,Solid Colors,5,0.36
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,4,0.26
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
4070,4539092,4070,"Brick, Modified 1 x 1 with Headlight",59,320,Dark Red,Solid Colors,2,0.36
4162,4539083,4162,Tile 1 x 8,59,320,Dark Red,Solid Colors,1,1.06
6541,6267414,6541,"Technic, Brick 1 x 1 with Hole",59,320,Dark Red,Solid Colors,1,0
87087,6212007,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",59,320,Dark Red,Solid Colors,1,0.45
98283,6093908,98283,"Brick, Modified 1 x 2 with Masonry Profile",59,320,Dark Red,Solid Colors,4,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
24,14.68,,,,,,,,
