BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15068,6107758,15068,"Slope, Curved 2 x 2",59,320,Dark Red,Solid Colors,2,0.57
20482,6186672,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",115,297,Pearl Gold,Pearl Colors,2,0.16
30044,6143849,30044,Window 1 x 2 x 2 2/3 with Rounded Top,85,72,Dark Bluish Gray,Solid Colors,1,0.95
30046,6173106,30046,Pane for Window 1 x 2 x 2 2/3 Lattice Diamond with Rounded Top,115,297,Pearl Gold,Pearl Colors,1,0.26
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3023,4539097,3023,Plate 1 x 2,59,320,Dark Red,Solid Colors,1,0.36
3024,4539114,3024,Plate 1 x 1,59,320,Dark Red,Solid Colors,4,0.2
3024,6069887,3024,Plate 1 x 1,115,297,Pearl Gold,Pearl Colors,4,0.2
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3659,6146854,3659,Arch 1 x 4,59,320,Dark Red,Solid Colors,1,1.25
37762,6290401,37762,"Minifigure, Utensil Candle",115,297,Pearl Gold,Pearl Colors,2,0
6541,6267414,6541,"Technic, Brick 1 x 1 with Hole",59,320,Dark Red,Solid Colors,1,0
85861,6190252,85861,"Plate, Round 1 x 1 with Open Stud",115,297,Pearl Gold,Pearl Colors,2,0.1
87087,6212007,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",59,320,Dark Red,Solid Colors,1,0.45
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
26,8.71,,,,,,,,
