BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14769pb030,6104415,14769pb030,"Tile, Round 2 x 2 with Bottom Stud Holder with Elves Wind Power Icon Pattern",157,30,Medium Lavender,Solid Colors,1,0.33
14769pb032,6104406,14769pb032,"Tile, Round 2 x 2 with Bottom Stud Holder with Elves Fire Power Icon Pattern",2,19,Tan,Solid Colors,1,0.33
14769pb033,6104413,14769pb033,"Tile, Round 2 x 2 with Bottom Stud Holder with Elves Earth Power Icon Pattern",34,27,Lime,Solid Colors,1,0.33
14769pb031,6104410,14769pb031,"Tile, Round 2 x 2 with Bottom Stud Holder with Elves Water Power Icon Pattern",152,323,Light Aqua,Solid Colors,1,0.33
27263,6207046,27263,"Tile, Modified Facet 2 x 2 Corner with Cut Corner",115,297,Pearl Gold,Pearl Colors,4,0.33
3005,4113915,3005,Brick 1 x 1,2,19,Tan,Solid Colors,2,0.44
3022,6162885,3022,Plate 2 x 2,115,297,Pearl Gold,Pearl Colors,1,0.64
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,4,0.26
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
3710,4113233,3710,Plate 1 x 4,2,19,Tan,Solid Colors,1,0.71
4162,4544139,4162,Tile 1 x 8,2,19,Tan,Solid Colors,1,1.06
6541,4179771,6541,"Technic, Brick 1 x 1 with Hole",2,19,Tan,Solid Colors,1,0.38
87087,4579260,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",2,19,Tan,Solid Colors,1,0.45
98283,6148262,98283,"Brick, Modified 1 x 2 with Masonry Profile",2,19,Tan,Solid Colors,4,0.77
99207,6174925,99207,Bracket 1 x 2 - 2 x 2 Inverted,2,19,Tan,Solid Colors,4,0.8
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
29,17.71,,,,,,,,
