BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,2,0.43
22388,6129416,22388,Slope 45 1 x 1 x 2/3 Quadruple Convex Pyramid,115,297,Pearl Gold,Pearl Colors,2,0.16
2420,4114077,2420,Plate 2 x 2 Corner,2,19,Tan,Solid Colors,1,0.54
3005,4113915,3005,Brick 1 x 1,2,19,Tan,Solid Colors,2,0.44
3022,4114084,3022,Plate 2 x 2,2,19,Tan,Solid Colors,2,0.64
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3623,4211133,3623,Plate 1 x 3,85,72,Dark Bluish Gray,Solid Colors,2,0.53
3710,4113233,3710,Plate 1 x 4,2,19,Tan,Solid Colors,1,0.71
4162,4544139,4162,Tile 1 x 8,2,19,Tan,Solid Colors,1,1.06
61252,6347292,61252,"Plate, Modified 1 x 1 with Open O Clip (Horizontal Grip)",2,19,Tan,Solid Colors,1,0.27
64644,6060850,64644,"Minifigure, Utensil Telescope",2,19,Tan,Solid Colors,2,0.22
6541,4179771,6541,"Technic, Brick 1 x 1 with Hole",2,19,Tan,Solid Colors,1,0.38
87087,4579260,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",2,19,Tan,Solid Colors,1,0.45
98138,4649422,98138,"Tile, Round 1 x 1",115,297,Pearl Gold,Pearl Colors,2,0.11
98283,6148262,98283,"Brick, Modified 1 x 2 with Masonry Profile",2,19,Tan,Solid Colors,2,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
25,12.8,,,,,,,,
