BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,2,0.43
3005,4113915,3005,Brick 1 x 1,2,19,Tan,Solid Colors,2,0.44
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.2
3070bpb010,6044163,3070bpb010,Tile 1 x 1 with Groove with Letter Capital B Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb032,6044212,3070bpb032,Tile 1 x 1 with Groove with Letter Capital 'X' Pattern,11,0,Black,Solid Colors,1,0.13
3710,4113233,3710,Plate 1 x 4,2,19,Tan,Solid Colors,1,0.71
6541,4179771,6541,"Technic, Brick 1 x 1 with Hole",2,19,Tan,Solid Colors,1,0.38
87087,4579260,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",2,19,Tan,Solid Colors,1,0.45
93273,4666611,93273,"Slope, Curved 4 x 1 Double",2,19,Tan,Solid Colors,1,0.6
99781,6249809,99781,Bracket 1 x 2 - 1 x 2,2,19,Tan,Solid Colors,1,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
14,6.29,,,,,,,,
