BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
25269,6248536,25269,"Tile, Round 1 x 1 Quarter",150,84,Medium Nougat,Solid Colors,2,0.1
3005,4113915,3005,Brick 1 x 1,2,19,Tan,Solid Colors,2,0.44
3024,4159553,3024,Plate 1 x 1,2,19,Tan,Solid Colors,2,0.2
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3062b,4211183,3062b,"Brick, Round 1 x 1 Open Stud",88,70,Reddish Brown,Solid Colors,4,0.28
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,4,0.26
3070b,6177146,3070b,Tile 1 x 1 with Groove (3070),150,84,Medium Nougat,Solid Colors,2,0.16
32952,6232135,32952,"Brick, Modified 1 x 1 x 1 2/3 with Studs on 1 Side",2,19,Tan,Solid Colors,2,0.7
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
38320,6234994,38320,Pane for Window 1 x 2 x 2 Lattice Diamond,11,0,Black,Solid Colors,1,0.2
4162,4585337,4162,Tile 1 x 8,88,70,Reddish Brown,Solid Colors,1,1.06
6541,4179771,6541,"Technic, Brick 1 x 1 with Hole",2,19,Tan,Solid Colors,1,0.38
87087,4579260,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",2,19,Tan,Solid Colors,1,0.45
90195,4642933,90195,Window 1 x 2 x 2 Castle,2,19,Tan,Solid Colors,1,0.74
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
25,11.82,,,,,,,,
